combination_name,combination_code,seismic_velocity_mps,seismic_velocity_kmps,best_x_m,best_y_m,best_z_m,best_rms_s,best_source_lag_s,stations_used
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S2I1S1I2S2I2,3300.0,3.3,1828136.0,5662544.0,1994.819824,0.20566137363776507,-0.17056476467937873,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_2/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I1S1I2S2I2S1I1,3300.0,3.3,1828328.0,5661776.0,1708.478394,0.206263917626724,-0.3570215230127317,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S1I1S2I2S1I2S1I2S2I1,3300.0,3.3,1827944.0,5661488.0,1710.052002,0.20880107006904405,-0.564951349992828,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S1I2S1I2S1I1,2500.0,2.5,1828136.0,5661680.0,1731.645752,0.21008426980609424,0.11817912099095373,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I1S1I2S1I2S1I1,3000.0,3.0,1828232.0,5661776.0,1756.203979,0.2119503045094947,0.010576849614410477,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S2I1S1I2S1I1,2500.0,2.5,1827944.0,5662064.0,2013.466919,0.212127891724331,-0.4052889836562306,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S2I2S2I1S1I2S1I1,2500.0,2.5,1827752.0,5661968.0,2023.887207,0.21272444628852746,-0.5145908035355417,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_2/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S2I1S1I2S2I2S2I1,3300.0,3.3,1828328.0,5661584.0,1637.31189,0.2130939727146787,-0.5312295514591495,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S1I1S1I1S1I2S1I2S2I2,3000.0,3.0,1828232.0,5662160.0,1873.492554,0.2154321453744906,0.6143957436888101,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S2I2S2I1S1I2S2I1,2500.0,2.5,1827848.0,5661776.0,1864.244263,0.22015590840601418,-0.7175394719479968,5
